RainGage,XCOORD,YCOORD,biasNRD,NRD,Rainfall,bias,SigRainObs,NRDobs,RainObs
085895-2,628629.477,908697.798,42.96,49.598,42.96,0.866163958224122,336,336,336
086078-6,397596.75,666546.721,48.62,60.642,48.62,0.801754559546189,336,336,336
ALICO_R,662050.191,792096.255,49.59,54.687,49.59,0.90679686214274,364,364,364
ALVA FAR_R,450570.632,865198.252,63.12,61.323,63.12,1.02930385010518,363,363,363
BIG CY SIR,633944.208,722538.985,54.12,55.616,54.12,0.973101265822785,363,363,363
BONITA S_R,410589.049,727689.644,53.85,62.955,53.85,0.855372885394329,364,364,364
CFSW,690325.941,872881.572,53.045,52.474,53.045,1.01088157944887,351,351,351
COLLISEM,461311.182,600891.565,77.24,73.939,77.24,1.04464490999337,364,364,364
DEVILS_R,614211.264,824829.382,52.0336666666666,52.025,52.0336666666666,1.00016658657696,345,345,345
FPWX,419436.348,763584.203,60.551,70.611,60.551,0.857529280140488,364,364,364
G155_R,695071.063,725952.438,53.79,54.498,53.79,0.987008697566883,364,364,364
G600_R,687056.212,736766.359,59.785,50.178,59.785,1.19145840806728,345,345,345
GOLDFS2,448978.659,689217.703,59.34,64.568,59.34,0.919031098996407,364,364,364
IMMOKA 2_R,519853.954,753951.068,53.809,49.019,53.809,1.09771721169343,353,353,353
IMMOKA 3_R,513101.776,773661.672,53.17,53.874,53.17,0.986932472064447,330,330,330
IMMOKALE_R,522929.026,748792.045,39.3651666666667,39.384,39.3651666666667,0.999521802423996,329,329,329
KERI TOW_R,546582.395,822327.096,61.603,54.015,61.603,1.14047949643618,347,347,347
L OKEE.M_R,641603.99,920001.061,47.387,46.294,47.387,1.02360997105456,347,347,347
MILES CI_R,542549.053,672912.181,59.324,62.26,59.324,0.952842916800514,342,342,342
NAPLES_R,397119.937,667592.371,54.22,66.64,54.22,0.813625450180072,364,364,364
NP-P34,675607.04,463468.567,61.63,51.457,61.63,1.19769904969198,349,349,349
PAIGE_R,672665.109,825820.991,60.24,59.155,60.24,1.01834164483138,364,364,364
S190_R,666829.573,708933.876,54.33,64.39,54.33,0.843764559714241,364,364,364
S77,628933.249,911306.605,50.58,50.449,50.58,1.00259668179746,364,364,364
S78W,557370.739,892876.155,58.76,58.104,58.76,1.01129010050943,364,364,364
S79_R,429939.389,868887.3,49.9305,54.706,49.9305,0.912706101707308,361,361,361
SIX L 3_R,615149.841,776728.964,47.02,53.467,47.02,0.879420951240953,364,364,364
SLEE_R,402470.737,859405.523,54.973,59.472,54.973,0.924350955071294,344,344,344
TOWNSITE_R,677541.744,874185.688,49.685,55.757,49.685,0.891098875477518,364,364,364
WHIDDEN3_R,471717.104,950218.783,50.71,51.897,50.71,0.977127772318246,364,364,364
